,campo_exp,faixa_etaria,obj,cod_apr,descricao_cod
0,"Corpo, gestos e movimentos",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03CG01) 
Criar com o corpo formas diversificadas de expressão de sentimentos, sensações e emoções, tanto nas situações do cotidiano quanto em brincadeiras, dança, teatro, música.",EI03CG01,"Criar com o corpo formas diversificadas de expressão de sentimentos, sensações e emoções, tanto nas situações do cotidiano quanto em brincadeiras, dança, teatro, música."
1,"Corpo, gestos e movimentos",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02CG05) 
Desenvolver progressivamente as habilidades manuais, adquirindo controle para desenhar, pintar, rasgar, folhear, entre outros.",EI02CG05,"Desenvolver progressivamente as habilidades manuais, adquirindo controle para desenhar, pintar, rasgar, folhear, entre outros."
2,"Corpo, gestos e movimentos",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02CG01) 
Apropriar-se de gestos e movimentos de sua cultura no cuidado de si e nos jogos e brincadeiras.",EI02CG01,Apropriar-se de gestos e movimentos de sua cultura no cuidado de si e nos jogos e brincadeiras.
3,"Corpo, gestos e movimentos",Bebês (zero a 1 ano e 6 meses),"(EI01CG01) 
Movimentar as partes do corpo para exprimir corporalmente emoções, necessidades e desejos.",EI01CG01,"Movimentar as partes do corpo para exprimir corporalmente emoções, necessidades e desejos."
4,"Corpo, gestos e movimentos",Bebês (zero a 1 ano e 6 meses),"(EI01CG02) 
Experimentar as possibilidades corporais nas brincadeiras e interações em ambientes acolhedores e desafiantes.",EI01CG02,Experimentar as possibilidades corporais nas brincadeiras e interações em ambientes acolhedores e desafiantes.
5,"Corpo, gestos e movimentos",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02CG02) 
Deslocar seu corpo no espaço, orientando-se por noções como em frente, atrás, no alto, embaixo, dentro, fora etc., ao se envolver em brincadeiras e atividades de diferentes naturezas.",EI02CG02,"Deslocar seu corpo no espaço, orientando-se por noções como em frente, atrás, no alto, embaixo, dentro, fora etc., ao se envolver em brincadeiras e atividades de diferentes naturezas."
6,"Corpo, gestos e movimentos",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03CG02) 
Demonstrar controle e adequação do uso de seu corpo em brincadeiras e jogos, escuta e reconto de histórias, atividades artísticas, entre outras possibilidades.",EI03CG02,"Demonstrar controle e adequação do uso de seu corpo em brincadeiras e jogos, escuta e reconto de histórias, atividades artísticas, entre outras possibilidades."
7,"Corpo, gestos e movimentos",Bebês (zero a 1 ano e 6 meses),"(EI01CG03) 
Imitar gestos e movimentos de outras crianças, adultos e animais.",EI01CG03,"Imitar gestos e movimentos de outras crianças, adultos e animais."
8,"Corpo, gestos e movimentos",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03CG04) 
Adotar hábitos de autocuidado relacionados a higiene, alimentação, conforto e aparência.",EI03CG04,"Adotar hábitos de autocuidado relacionados a higiene, alimentação, conforto e aparência."
9,"Corpo, gestos e movimentos",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02CG03) 
Explorar formas de deslocamento no espaço (pular, saltar, dançar), combinando movimentos e seguindo orientações.",EI02CG03,"Explorar formas de deslocamento no espaço (pular, saltar, dançar), combinando movimentos e seguindo orientações."
10,"Corpo, gestos e movimentos",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03CG03) 
Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.",EI03CG03,"Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música."
11,"Corpo, gestos e movimentos",Bebês (zero a 1 ano e 6 meses),"(EI01CG04) 
Participar do cuidado do seu corpo e da promoção do seu bem-estar.",EI01CG04,Participar do cuidado do seu corpo e da promoção do seu bem-estar.
12,"Corpo, gestos e movimentos",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02CG04) 
Demonstrar progressiva independência no cuidado do seu corpo.",EI02CG04,Demonstrar progressiva independência no cuidado do seu corpo.
13,"Corpo, gestos e movimentos",Bebês (zero a 1 ano e 6 meses),"(EI01CG05) 
Utilizar os movimentos de preensão, encaixe e lançamento, ampliando suas possibilidades de manuseio de diferentes materiais e objetos.",EI01CG05,"Utilizar os movimentos de preensão, encaixe e lançamento, ampliando suas possibilidades de manuseio de diferentes materiais e objetos."
14,"Corpo, gestos e movimentos",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03CG05) 
Coordenar suas habilidades manuais no atendimento adequado a seus interesses e necessidades em situações diversas.",EI03CG05,Coordenar suas habilidades manuais no atendimento adequado a seus interesses e necessidades em situações diversas.
