,campo_exp,faixa_etaria,cod_apr,descricao_cod,idade_anos_inicial,idade_meses_inicial,idade_anos_final,idade_meses_final
0,"Corpo, gestos e movimentos",Crianças pequenas (4 anos a 5 anos e 11 meses),EI03CG01,"Criar com o corpo formas diversificadas de expressão de sentimentos, sensações e emoções, tanto nas situações do cotidiano quanto em brincadeiras, dança, teatro, música.",4,,5,11
1,"Corpo, gestos e movimentos",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),EI02CG05,"Desenvolver progressivamente as habilidades manuais, adquirindo controle para desenhar, pintar, rasgar, folhear, entre outros.",1,7,3,11
2,"Corpo, gestos e movimentos",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),EI02CG01,Apropriar-se de gestos e movimentos de sua cultura no cuidado de si e nos jogos e brincadeiras.,1,7,3,11
3,"Corpo, gestos e movimentos",Bebês (0 a 1 ano e 6 meses),EI01CG01,"Movimentar as partes do corpo para exprimir corporalmente emoções, necessidades e desejos.",0,,1,6
4,"Corpo, gestos e movimentos",Bebês (0 a 1 ano e 6 meses),EI01CG02,Experimentar as possibilidades corporais nas brincadeiras e interações em ambientes acolhedores e desafiantes.,0,,1,6
5,"Corpo, gestos e movimentos",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),EI02CG02,"Deslocar seu corpo no espaço, orientando-se por noções como em frente, atrás, no alto, embaixo, dentro, fora etc., ao se envolver em brincadeiras e atividades de diferentes naturezas.",1,7,3,11
6,"Corpo, gestos e movimentos",Crianças pequenas (4 anos a 5 anos e 11 meses),EI03CG02,"Demonstrar controle e adequação do uso de seu corpo em brincadeiras e jogos, escuta e reconto de histórias, atividades artísticas, entre outras possibilidades.",4,,5,11
7,"Corpo, gestos e movimentos",Bebês (0 a 1 ano e 6 meses),EI01CG03,"Imitar gestos e movimentos de outras crianças, adultos e animais.",0,,1,6
8,"Corpo, gestos e movimentos",Crianças pequenas (4 anos a 5 anos e 11 meses),EI03CG04,"Adotar hábitos de autocuidado relacionados a higiene, alimentação, conforto e aparência.",4,,5,11
9,"Corpo, gestos e movimentos",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),EI02CG03,"Explorar formas de deslocamento no espaço (pular, saltar, dançar), combinando movimentos e seguindo orientações.",1,7,3,11
10,"Corpo, gestos e movimentos",Crianças pequenas (4 anos a 5 anos e 11 meses),EI03CG03,"Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.",4,,5,11
11,"Corpo, gestos e movimentos",Bebês (0 a 1 ano e 6 meses),EI01CG04,Participar do cuidado do seu corpo e da promoção do seu bem-estar.,0,,1,6
12,"Corpo, gestos e movimentos",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),EI02CG04,Demonstrar progressiva independência no cuidado do seu corpo.,1,7,3,11
13,"Corpo, gestos e movimentos",Bebês (0 a 1 ano e 6 meses),EI01CG05,"Utilizar os movimentos de preensão, encaixe e lançamento, ampliando suas possibilidades de manuseio de diferentes materiais e objetos.",0,,1,6
14,"Corpo, gestos e movimentos",Crianças pequenas (4 anos a 5 anos e 11 meses),EI03CG05,Coordenar suas habilidades manuais no atendimento adequado a seus interesses e necessidades em situações diversas.,4,,5,11
15,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),EI01EF01,Reconhecer quando é chamado por seu nome e reconhecer os nomes de pessoas com quem convive.,0,,1,6
16,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),EI02EF01,"Dialogar com crianças e adultos, expressando seus desejos, necessidades, sentimentos e opiniões.",1,7,3,11
17,"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),EI03EF01,"Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.",4,,5,11
18,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),EI01EF02,Demonstrar interesse ao ouvir a leitura de poemas e a apresentação de músicas.,0,,1,6
19,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),EI02EF02,Identificar e criar diferentes sons e reconhecer rimas e aliterações em cantigas de roda e textos poéticos.,1,7,3,11
