,campo_exp,faixa_etaria,obj,cod_apr,descricao_cod,idade_anos_inicial,idade_meses_inicial,idade_anos_final,idade_meses_final
0,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),"(EI01EF01) 
Reconhecer quando é chamado por seu nome e reconhecer os nomes de pessoas com quem convive.",EI01EF01,Reconhecer quando é chamado por seu nome e reconhecer os nomes de pessoas com quem convive.,0,,1,6
1,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EF01) 
Dialogar com crianças e adultos, expressando seus desejos, necessidades, sentimentos e opiniões.",EI02EF01,"Dialogar com crianças e adultos, expressando seus desejos, necessidades, sentimentos e opiniões.",1,7,3,11
2,"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF01) 
Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.",EI03EF01,"Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.",4,,5,11
3,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),"(EI01EF02) 
Demonstrar interesse ao ouvir a leitura de poemas e a apresentação de músicas.",EI01EF02,Demonstrar interesse ao ouvir a leitura de poemas e a apresentação de músicas.,0,,1,6
4,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EF02) 
Identificar e criar diferentes sons e reconhecer rimas e aliterações em cantigas de roda e textos poéticos.",EI02EF02,Identificar e criar diferentes sons e reconhecer rimas e aliterações em cantigas de roda e textos poéticos.,1,7,3,11
5,"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF02) 
Inventar brincadeiras cantadas, poemas e canções, criando rimas, aliterações e ritmos.",EI03EF02,"Inventar brincadeiras cantadas, poemas e canções, criando rimas, aliterações e ritmos.",4,,5,11
6,"Escuta, fala, pensamento e imaginação",Bebês (0 a 1 ano e 6 meses),"(EI01EF03) 
Demonstrar interesse ao ouvir histórias lidas ou contadas, observando ilustrações e os movimentos de leitura do adulto-leitor (modo de segurar o portador e de virar as páginas).",EI01EF03,"Demonstrar interesse ao ouvir histórias lidas ou contadas, observando ilustrações e os movimentos de leitura do adulto-leitor (modo de segurar o portador e de virar as páginas).",0,,1,6
7,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EF03) 
Demonstrar interesse e atenção ao ouvir a leitura de histórias e outros textos, diferenciando escrita de ilustrações, e acompanhando, com orientação do adulto-leitor, a direção da leitura (de cima para baixo, da esquerda para a direita).",EI02EF03,"Demonstrar interesse e atenção ao ouvir a leitura de histórias e outros textos, diferenciando escrita de ilustrações, e acompanhando, com orientação do adulto-leitor, a direção da leitura (de cima para baixo, da esquerda para a direita).",1,7,3,11
8,"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF03) 
Escolher e folhear livros, procurando orientar-se por temas e ilustrações e tentando identificar palavras conhecidas.",EI03EF03,"Escolher e folhear livros, procurando orientar-se por temas e ilustrações e tentando identificar palavras conhecidas.",4,,5,11
9,"Escuta, fala, pensamento e imaginação",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EF05) 
Relatar experiências e fatos acontecidos, histórias ouvidas, filmes ou peças teatrais assistidos etc.",EI02EF05,"Relatar experiências e fatos acontecidos, histórias ouvidas, filmes ou peças teatrais assistidos etc.",1,7,3,11
