,campo_exp,faixa_etaria,obj,cod_apr,descricao_cod,idade_anos_inicial,idade_meses_inicial,idade_anos_final,idade_meses_final
0,"Espaços, tempos, quantidades, relações e transformações",Bebês (0 a 1 ano e 6 meses),"(EI01ET01) 
Explorar e descobrir as propriedades de objetos e materiais (odor, cor, sabor, temperatura).",EI01ET01,"Explorar e descobrir as propriedades de objetos e materiais (odor, cor, sabor, temperatura).",0,,1,6
1,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET01) 
Explorar e descrever semelhanças e diferenças entre as características e propriedades dos objetos (textura, massa, tamanho).",EI02ET01,"Explorar e descrever semelhanças e diferenças entre as características e propriedades dos objetos (textura, massa, tamanho).",1,7,3,11
2,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET01) 
Estabelecer relações de comparação entre objetos, observando suas propriedades.",EI03ET01,"Estabelecer relações de comparação entre objetos, observando suas propriedades.",4,,5,11
3,"Espaços, tempos, quantidades, relações e transformações",Bebês (0 a 1 ano e 6 meses),"(EI01ET02) 
Explorar relações de causa e efeito (transbordar, tingir, misturar, mover e remover etc.) na interação com o mundo físico.",EI01ET02,"Explorar relações de causa e efeito (transbordar, tingir, misturar, mover e remover etc.) na interação com o mundo físico.",0,,1,6
4,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET02) 
Observar, relatar e descrever incidentes do cotidiano e fenômenos naturais (luz solar, vento, chuva etc.).",EI02ET02,"Observar, relatar e descrever incidentes do cotidiano e fenômenos naturais (luz solar, vento, chuva etc.).",1,7,3,11
5,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET02) 
Observar e descrever mudanças em diferentes materiais, resultantes de ações sobre eles, em experimentos envolvendo fenômenos naturais e artificiais.",EI03ET02,"Observar e descrever mudanças em diferentes materiais, resultantes de ações sobre eles, em experimentos envolvendo fenômenos naturais e artificiais.",4,,5,11
6,"Espaços, tempos, quantidades, relações e transformações",Bebês (0 a 1 ano e 6 meses),"(EI01ET03) 
Explorar o ambiente pela ação e observação, manipulando, experimentando e fazendo descobertas.",EI01ET03,"Explorar o ambiente pela ação e observação, manipulando, experimentando e fazendo descobertas.",0,,1,6
7,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET03) 
Compartilhar, com outras crianças, situações de cuidado de plantas e animais nos espaços da instituição e fora dela.",EI02ET03,"Compartilhar, com outras crianças, situações de cuidado de plantas e animais nos espaços da instituição e fora dela.",1,7,3,11
8,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET03) 
Identificar e selecionar fontes de informações, para responder a questões sobre a natureza, seus fenômenos, sua conservação.",EI03ET03,"Identificar e selecionar fontes de informações, para responder a questões sobre a natureza, seus fenômenos, sua conservação.",4,,5,11
9,"Espaços, tempos, quantidades, relações e transformações",Bebês (0 a 1 ano e 6 meses),"(EI01ET04) 
Manipular, experimentar, arrumar e explorar o espaço por meio de experiências de deslocamentos de si e dos objetos.",EI01ET04,"Manipular, experimentar, arrumar e explorar o espaço por meio de experiências de deslocamentos de si e dos objetos.",0,,1,6
10,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET04) 
Identificar relações espaciais (dentro e fora, em cima, embaixo, acima, abaixo, entre e do lado) e temporais (antes, durante e depois).",EI02ET04,"Identificar relações espaciais (dentro e fora, em cima, embaixo, acima, abaixo, entre e do lado) e temporais (antes, durante e depois).",1,7,3,11
