,campo_exp,faixa_etaria,obj,cod_apr,descricao_cod
42,"Espaços, tempos, quantidades, relações e transformações",Bebês (zero a 1 ano e 6 meses),"(EI01ET01) 
Explorar e descobrir as propriedades de objetos e materiais (odor, cor, sabor, temperatura).",EI01ET01,"Explorar e descobrir as propriedades de objetos e materiais (odor, cor, sabor, temperatura)."
43,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET01) 
Explorar e descrever semelhanças e diferenças entre as características e propriedades dos objetos (textura, massa, tamanho).",EI02ET01,"Explorar e descrever semelhanças e diferenças entre as características e propriedades dos objetos (textura, massa, tamanho)."
44,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET01) 
Estabelecer relações de comparação entre objetos, observando suas propriedades.",EI03ET01,"Estabelecer relações de comparação entre objetos, observando suas propriedades."
45,"Espaços, tempos, quantidades, relações e transformações",Bebês (zero a 1 ano e 6 meses),"(EI01ET02) 
Explorar relações de causa e efeito (transbordar, tingir, misturar, mover e remover etc.) na interação com o mundo físico.",EI01ET02,"Explorar relações de causa e efeito (transbordar, tingir, misturar, mover e remover etc.) na interação com o mundo físico."
46,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET02) 
Observar, relatar e descrever incidentes do cotidiano e fenômenos naturais (luz solar, vento, chuva etc.).",EI02ET02,"Observar, relatar e descrever incidentes do cotidiano e fenômenos naturais (luz solar, vento, chuva etc.)."
47,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET02) 
Observar e descrever mudanças em diferentes materiais, resultantes de ações sobre eles, em experimentos envolvendo fenômenos naturais e artificiais.",EI03ET02,"Observar e descrever mudanças em diferentes materiais, resultantes de ações sobre eles, em experimentos envolvendo fenômenos naturais e artificiais."
48,"Espaços, tempos, quantidades, relações e transformações",Bebês (zero a 1 ano e 6 meses),"(EI01ET03) 
Explorar o ambiente pela ação e observação, manipulando, experimentando e fazendo descobertas.",EI01ET03,"Explorar o ambiente pela ação e observação, manipulando, experimentando e fazendo descobertas."
49,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET03) 
Compartilhar, com outras crianças, situações de cuidado de plantas e animais nos espaços da instituição e fora dela.",EI02ET03,"Compartilhar, com outras crianças, situações de cuidado de plantas e animais nos espaços da instituição e fora dela."
50,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET03) 
Identificar e selecionar fontes de informações, para responder a questões sobre a natureza, seus fenômenos, sua conservação.",EI03ET03,"Identificar e selecionar fontes de informações, para responder a questões sobre a natureza, seus fenômenos, sua conservação."
51,"Espaços, tempos, quantidades, relações e transformações",Bebês (zero a 1 ano e 6 meses),"(EI01ET04) 
Manipular, experimentar, arrumar e explorar o espaço por meio de experiências de deslocamentos de si e dos objetos.",EI01ET04,"Manipular, experimentar, arrumar e explorar o espaço por meio de experiências de deslocamentos de si e dos objetos."
52,"Espaços, tempos, quantidades, relações e transformações",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02ET04) 
Identificar relações espaciais (dentro e fora, em cima, embaixo, acima, abaixo, entre e do lado) e temporais (antes, durante e depois).",EI02ET04,"Identificar relações espaciais (dentro e fora, em cima, embaixo, acima, abaixo, entre e do lado) e temporais (antes, durante e depois)."
53,"Espaços, tempos, quantidades, relações e transformações",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03ET04) 
Registrar observações, manipulações e medidas, usando múltiplas linguagens (desenho, registro por números ou escrita espontânea), em diferentes suportes.",EI03ET04,"Registrar observações, manipulações e medidas, usando múltiplas linguagens (desenho, registro por números ou escrita espontânea), em diferentes suportes."
