,campo_exp,faixa_etaria,obj,cod_apr,descricao_cod,idade_anos_inicial,idade_meses_inicial,idade_anos_final,idade_meses_final
0,"O eu, o outro e o nós",Bebês (0 a 1 ano e 6 meses),"(EI01EO01) 
Perceber que suas ações têm efeitos nas outras crianças e nos adultos.",EI01EO01,Perceber que suas ações têm efeitos nas outras crianças e nos adultos.,0,,1,6
1,"O eu, o outro e o nós",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EO01) 
Demonstrar atitudes de cuidado e solidariedade na interação com crianças e adultos.",EI02EO01,Demonstrar atitudes de cuidado e solidariedade na interação com crianças e adultos.,1,7,3,11
2,"O eu, o outro e o nós",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EO01) 
Demonstrar empatia pelos outros, percebendo que as pessoas têm diferentes sentimentos, necessidades e maneiras de pensar e agir.",EI03EO01,"Demonstrar empatia pelos outros, percebendo que as pessoas têm diferentes sentimentos, necessidades e maneiras de pensar e agir.",4,,5,11
3,"O eu, o outro e o nós",Bebês (0 a 1 ano e 6 meses),"(EI01EO02) 
Perceber as possibilidades e os limites de seu corpo nas brincadeiras e interações das quais participa.",EI01EO02,Perceber as possibilidades e os limites de seu corpo nas brincadeiras e interações das quais participa.,0,,1,6
4,"O eu, o outro e o nós",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EO02) 
Agir de maneira independente, com confiança em suas capacidades, reconhecendo suas conquistas e limitações.",EI03EO02,"Agir de maneira independente, com confiança em suas capacidades, reconhecendo suas conquistas e limitações.",4,,5,11
5,"O eu, o outro e o nós",Bebês (0 a 1 ano e 6 meses),"(EI01EO03) 
Interagir com crianças da mesma faixa etária e adultos ao explorar espaços, materiais, objetos, brinquedos.",EI01EO03,"Interagir com crianças da mesma faixa etária e adultos ao explorar espaços, materiais, objetos, brinquedos.",0,,1,6
6,"O eu, o outro e o nós",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EO03) 
Compartilhar os objetos e os espaços com crianças da mesma faixa etária e adultos.",EI02EO03,Compartilhar os objetos e os espaços com crianças da mesma faixa etária e adultos.,1,7,3,11
7,"O eu, o outro e o nós",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EO03) 
Ampliar as relações interpessoais, desenvolvendo atitudes de participação e cooperação.",EI03EO03,"Ampliar as relações interpessoais, desenvolvendo atitudes de participação e cooperação.",4,,5,11
8,"O eu, o outro e o nós",Bebês (0 a 1 ano e 6 meses),"(EI01EO04) 
Comunicar necessidades, desejos e emoções, utilizando gestos, balbucios, palavras.",EI01EO04,"Comunicar necessidades, desejos e emoções, utilizando gestos, balbucios, palavras.",0,,1,6
9,"O eu, o outro e o nós",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EO04) 
Comunicar-se com os colegas e os adultos, buscando compreendê-los e fazendo-se compreender.",EI02EO04,"Comunicar-se com os colegas e os adultos, buscando compreendê-los e fazendo-se compreender.",1,7,3,11
10,"O eu, o outro e o nós",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EO04) 
Comunicar suas ideias e sentimentos a pessoas e grupos diversos.",EI03EO04,Comunicar suas ideias e sentimentos a pessoas e grupos diversos.,4,,5,11
11,"O eu, o outro e o nós",Bebês (0 a 1 ano e 6 meses),"(EI01EO05) 
Reconhecer seu corpo e expressar suas sensações em momentos de alimentação, higiene, brincadeira e descanso.",EI01EO05,"Reconhecer seu corpo e expressar suas sensações em momentos de alimentação, higiene, brincadeira e descanso.",0,,1,6
12,"O eu, o outro e o nós",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EO05) 
Perceber que as pessoas têm características físicas diferentes, respeitando essas diferenças.",EI02EO05,"Perceber que as pessoas têm características físicas diferentes, respeitando essas diferenças.",1,7,3,11
13,"O eu, o outro e o nós",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EO05) 
Demonstrar valorização das características de seu corpo e respeitar as características dos outros (crianças e adultos) com os quais convive.",EI03EO05,Demonstrar valorização das características de seu corpo e respeitar as características dos outros (crianças e adultos) com os quais convive.,4,,5,11
14,"O eu, o outro e o nós",Bebês (0 a 1 ano e 6 meses),"(EI01EO06) 
Interagir com outras crianças da mesma faixa etária e adultos, adaptando-se ao convívio social.",EI01EO06,"Interagir com outras crianças da mesma faixa etária e adultos, adaptando-se ao convívio social.",0,,1,6
15,"O eu, o outro e o nós",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EO06) 
Respeitar regras básicas de convívio social nas interações e brincadeiras.",EI02EO06,Respeitar regras básicas de convívio social nas interações e brincadeiras.,1,7,3,11
16,"O eu, o outro e o nós",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EO06) 
Manifestar interesse e respeito por diferentes culturas e modos de vida.",EI03EO06,Manifestar interesse e respeito por diferentes culturas e modos de vida.,4,,5,11
17,"O eu, o outro e o nós",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EO07) 
Resolver conflitos nas interações e brincadeiras, com a orientação de um adulto.",EI02EO07,"Resolver conflitos nas interações e brincadeiras, com a orientação de um adulto.",1,7,3,11
18,"O eu, o outro e o nós",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EO07) 
Usar estratégias pautadas no respeito mútuo para lidar com conflitos nas interações com crianças e adultos.",EI03EO07,Usar estratégias pautadas no respeito mútuo para lidar com conflitos nas interações com crianças e adultos.,4,,5,11
19,"O eu, o outro e o nós",Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses),"(EI02EO02) 
Demonstrar imagem positiva de si e confiança em sua capacidade para enfrentar dificuldades e desafios.",EI02EO02,Demonstrar imagem positiva de si e confiança em sua capacidade para enfrentar dificuldades e desafios.,1,7,3,11
