,componente,ano_faixa,unidades_tematicas,objetos_conhecimento,habilidades,cod_hab,descricao_cod,primeiro_ef,segundo_ef,terceiro_ef,quarto_ef,quinto_ef,sexto_ef,setimo_ef,oitavo_ef,nono_ef
0,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Contextos e práticas,"(EF15AR01) Identificar e apreciar formas distintas das artes visuais tradicionais e contemporâneas, cultivando a percepção, o imaginário, a capacidade de simbolizar e o repertório imagético.",EF15AR01,"Identificar e apreciar formas distintas das artes visuais tradicionais e contemporâneas, cultivando a percepção, o imaginário, a capacidade de simbolizar e o repertório imagético.",1,1,1,1,1,0,0,0,0
1,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Elementos da linguagem,"(EF15AR02) Explorar e reconhecer elementos constitutivos das artes visuais (ponto, linha, forma, cor, espaço, movimento etc.).",EF15AR02,"Explorar e reconhecer elementos constitutivos das artes visuais (ponto, linha, forma, cor, espaço, movimento etc.).",1,1,1,1,1,0,0,0,0
2,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Matrizes estéticas e culturais,"(EF15AR03) Reconhecer e analisar a influência de distintas matrizes estéticas e culturais das artes visuais nas manifestações artísticas das culturas locais, regionais e nacionais.",EF15AR03,"Reconhecer e analisar a influência de distintas matrizes estéticas e culturais das artes visuais nas manifestações artísticas das culturas locais, regionais e nacionais.",1,1,1,1,1,0,0,0,0
3,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Materialidades,"(EF15AR04) Experimentar diferentes formas de expressão artística (desenho, pintura, colagem, quadrinhos, dobradura, escultura, modelagem, instalação, vídeo, fotografia etc.), fazendo uso sustentável de materiais, instrumentos, recursos e técnicas convencionais e não convencionais.",EF15AR04,"Experimentar diferentes formas de expressão artística (desenho, pintura, colagem, quadrinhos, dobradura, escultura, modelagem, instalação, vídeo, fotografia etc.), fazendo uso sustentável de materiais, instrumentos, recursos e técnicas convencionais e não convencionais.",1,1,1,1,1,0,0,0,0
4,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Processos de criação,"(EF15AR05) Experimentar a criação em artes visuais de modo individual, coletivo e colaborativo, explorando diferentes espaços da escola e da comunidade.",EF15AR05,"Experimentar a criação em artes visuais de modo individual, coletivo e colaborativo, explorando diferentes espaços da escola e da comunidade.",1,1,1,1,1,0,0,0,0
5,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Processos de criação,"(EF15AR06) Dialogar sobre a sua criação e as dos colegas, para alcançar sentidos plurais.",EF15AR06,"Dialogar sobre a sua criação e as dos colegas, para alcançar sentidos plurais.",1,1,1,1,1,0,0,0,0
6,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Sistemas da linguagem,"(EF15AR07) Reconhecer algumas categorias do sistema das artes visuais (museus, galerias, instituições, artistas, artesãos, curadores etc.).",EF15AR07,"Reconhecer algumas categorias do sistema das artes visuais (museus, galerias, instituições, artistas, artesãos, curadores etc.).",1,1,1,1,1,0,0,0,0
7,Arte,1º; 2º; 3º; 4º; 5º,Dança,Contextos e práticas,"(EF15AR08) Experimentar e apreciar formas distintas de manifestações da dança presentes em diferentes contextos, cultivando a percepção, o imaginário, a capacidade de simbolizar e o repertório corporal.",EF15AR08,"Experimentar e apreciar formas distintas de manifestações da dança presentes em diferentes contextos, cultivando a percepção, o imaginário, a capacidade de simbolizar e o repertório corporal.",1,1,1,1,1,0,0,0,0
8,Arte,1º; 2º; 3º; 4º; 5º,Dança,Elementos da linguagem,(EF15AR09) Estabelecer relações entre as partes do corpo e destas com o todo corporal na construção do movimento dançado.,EF15AR09,Estabelecer relações entre as partes do corpo e destas com o todo corporal na construção do movimento dançado.,1,1,1,1,1,0,0,0,0
9,Arte,1º; 2º; 3º; 4º; 5º,Dança,Elementos da linguagem,"(EF15AR10) Experimentar diferentes formas de orientação no espaço (deslocamentos, planos, direções, caminhos etc.) e ritmos de movimento (lento, moderado e rápido) na construção do movimento dançado.",EF15AR10,"Experimentar diferentes formas de orientação no espaço (deslocamentos, planos, direções, caminhos etc.) e ritmos de movimento (lento, moderado e rápido) na construção do movimento dançado.",1,1,1,1,1,0,0,0,0
10,Arte,1º; 2º; 3º; 4º; 5º,Dança,Processos de criação,"(EF15AR11) Criar e improvisar movimentos dançados de modo individual, coletivo e colaborativo, considerando os aspectos estruturais, dinâmicos e expressivos dos elementos constitutivos do movimento, com base nos códigos de dança.",EF15AR11,"Criar e improvisar movimentos dançados de modo individual, coletivo e colaborativo, considerando os aspectos estruturais, dinâmicos e expressivos dos elementos constitutivos do movimento, com base nos códigos de dança.",1,1,1,1,1,0,0,0,0
11,Arte,1º; 2º; 3º; 4º; 5º,Dança,Processos de criação,"(EF15AR12) Discutir, com respeito e sem preconceito, as experiências pessoais e coletivas em dança vivenciadas na escola, como fonte para a construção de vocabulários e repertórios próprios.",EF15AR12,"Discutir, com respeito e sem preconceito, as experiências pessoais e coletivas em dança vivenciadas na escola, como fonte para a construção de vocabulários e repertórios próprios.",1,1,1,1,1,0,0,0,0
