,componente,ano_faixa,unidades_tematicas,objetos_conhecimento,habilidades,cod_hab,descricao_cod,primeiro_ef,segundo_ef,terceiro_ef,quarto_ef,quinto_ef,sexto_ef,setimo_ef,oitavo_ef,nono_ef
0,Ciências,1º,Matéria e energia,Características dos materiais,"(EF01CI01) Comparar características de diferentes materiais presentes em objetos de uso cotidiano, discutindo sua origem, os modos como são descartados e como podem ser usados de forma mais consciente.",EF01CI01,"Comparar características de diferentes materiais presentes em objetos de uso cotidiano, discutindo sua origem, os modos como são descartados e como podem ser usados de forma mais consciente.",1,0,0,0,0,0,0,0,0
1,Ciências,1º,Vida e evolução,"Corpo humano
Respeito à diversidade","(EF01CI02) Localizar, nomear e representar graficamente (por meio de desenhos) partes do corpo humano e explicar suas funções.",EF01CI02,"Localizar, nomear e representar graficamente (por meio de desenhos) partes do corpo humano e explicar suas funções.",1,0,0,0,0,0,0,0,0
2,Ciências,1º,Vida e evolução,"Corpo humano
Respeito à diversidade","(EF01CI03) Discutir as razões pelas quais os hábitos de higiene do corpo (lavar as mãos antes de comer, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) são necessários para a manutenção da saúde.",EF01CI03,"Discutir as razões pelas quais os hábitos de higiene do corpo (lavar as mãos antes de comer, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) são necessários para a manutenção da saúde.",1,0,0,0,0,0,0,0,0
3,Ciências,1º,Vida e evolução,"Corpo humano
Respeito à diversidade","(EF01CI04) Comparar características físicas entre os colegas, reconhecendo a diversidade e a importância da valorização, do acolhimento e do respeito às diferenças.",EF01CI04,"Comparar características físicas entre os colegas, reconhecendo a diversidade e a importância da valorização, do acolhimento e do respeito às diferenças.",1,0,0,0,0,0,0,0,0
4,Ciências,1º,Terra e Universo,Escalas de tempo,"(EF01CI05) Identificar e nomear diferentes escalas de tempo: os períodos diários (manhã, tarde, noite) e a sucessão de dias, semanas, meses e anos.",EF01CI05,"Identificar e nomear diferentes escalas de tempo: os períodos diários (manhã, tarde, noite) e a sucessão de dias, semanas, meses e anos.",1,0,0,0,0,0,0,0,0
5,Ciências,1º,Terra e Universo,Escalas de tempo,(EF01CI06) Selecionar exemplos de como a sucessão de dias e noites orienta o ritmo de atividades diárias de seres humanos e de outros seres vivos.,EF01CI06,Selecionar exemplos de como a sucessão de dias e noites orienta o ritmo de atividades diárias de seres humanos e de outros seres vivos.,1,0,0,0,0,0,0,0,0
6,Ciências,2º,Matéria e energia,"Propriedades e usos dos materiais
Prevenção de acidentes domésticos","(EF02CI01) Identificar de que materiais (metais, madeira, vidro etc.) são feitos os objetos que fazem parte da vida cotidiana, como esses objetos são utilizados e com quais materiais eram produzidos no passado.",EF02CI01,"Identificar de que materiais (metais, madeira, vidro etc.) são feitos os objetos que fazem parte da vida cotidiana, como esses objetos são utilizados e com quais materiais eram produzidos no passado.",0,1,0,0,0,0,0,0,0
7,Ciências,2º,Matéria e energia,"Propriedades e usos dos materiais
Prevenção de acidentes domésticos","(EF02CI02) Propor o uso de diferentes materiais para a construção de objetos de uso cotidiano, tendo em vista algumas propriedades desses materiais (flexibilidade, dureza, transparência etc.).",EF02CI02,"Propor o uso de diferentes materiais para a construção de objetos de uso cotidiano, tendo em vista algumas propriedades desses materiais (flexibilidade, dureza, transparência etc.).",0,1,0,0,0,0,0,0,0
8,Ciências,2º,Matéria e energia,"Propriedades e usos dos materiais
Prevenção de acidentes domésticos","(EF02CI03) Discutir os cuidados necessários à prevenção de acidentes domésticos (objetos cortantes e inflamáveis, eletricidade, produtos de limpeza, medicamentos etc.).",EF02CI03,"Discutir os cuidados necessários à prevenção de acidentes domésticos (objetos cortantes e inflamáveis, eletricidade, produtos de limpeza, medicamentos etc.).",0,1,0,0,0,0,0,0,0
9,Ciências,2º,Vida e evolução,"Seres vivos no ambiente
Plantas","(EF02CI04) Descrever características de plantas e animais (tamanho, forma, cor, fase da vida, local onde se desenvolvem etc.) que fazem parte de seu cotidiano e relacioná-las ao ambiente em que eles vivem.",EF02CI04,"Descrever características de plantas e animais (tamanho, forma, cor, fase da vida, local onde se desenvolvem etc.) que fazem parte de seu cotidiano e relacioná-las ao ambiente em que eles vivem.",0,1,0,0,0,0,0,0,0
10,Ciências,2º,Vida e evolução,"Seres vivos no ambiente
Plantas",(EF02CI05) Investigar a importância da água e da luz para a manutenção da vida de plantas em geral.,EF02CI05,Investigar a importância da água e da luz para a manutenção da vida de plantas em geral.,0,1,0,0,0,0,0,0,0
11,Ciências,2º,Vida e evolução,"Seres vivos no ambiente
Plantas","(EF02CI06) Identificar as principais partes de uma planta (raiz, caule, folhas, flores e frutos) e a função desempenhada por cada uma delas, e analisar as relações entre as plantas, o ambiente e os demais seres vivos.",EF02CI06,"Identificar as principais partes de uma planta (raiz, caule, folhas, flores e frutos) e a função desempenhada por cada uma delas, e analisar as relações entre as plantas, o ambiente e os demais seres vivos.",0,1,0,0,0,0,0,0,0
