,componente,ano_faixa,unidades_tematicas,objetos_conhecimento,habilidades,cod_hab,descricao_cod,primeiro_ef,segundo_ef,terceiro_ef,quarto_ef,quinto_ef,sexto_ef,setimo_ef,oitavo_ef,nono_ef
0,Educação Física,1º; 2º,Brincadeiras e jogos,Brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional,"(EF12EF01) Experimentar, fruir e recriar diferentes brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional, reconhecendo e respeitando as diferenças individuais de desempenho dos colegas.",EF12EF01,"Experimentar, fruir e recriar diferentes brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional, reconhecendo e respeitando as diferenças individuais de desempenho dos colegas.",1,1,0,0,0,0,0,0,0
1,Educação Física,1º; 2º,Brincadeiras e jogos,Brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional,"(EF12EF02) Explicar, por meio de múltiplas linguagens (corporal, visual, oral e escrita), as brincadeiras e os jogos populares do contexto comunitário e regional, reconhecendo e valorizando a importância desses jogos e brincadeiras para suas culturas de origem.",EF12EF02,"Explicar, por meio de múltiplas linguagens (corporal, visual, oral e escrita), as brincadeiras e os jogos populares do contexto comunitário e regional, reconhecendo e valorizando a importância desses jogos e brincadeiras para suas culturas de origem.",1,1,0,0,0,0,0,0,0
2,Educação Física,1º; 2º,Brincadeiras e jogos,Brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional,"(EF12EF03) Planejar e utilizar estratégias para resolver desafios de brincadeiras e jogos populares do contexto comunitário e regional, com base no reconhecimento das características dessas práticas.",EF12EF03,"Planejar e utilizar estratégias para resolver desafios de brincadeiras e jogos populares do contexto comunitário e regional, com base no reconhecimento das características dessas práticas.",1,1,0,0,0,0,0,0,0
3,Educação Física,1º; 2º,Brincadeiras e jogos,Brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional,"(EF12EF04) Colaborar na proposição e na produção de alternativas para a prática, em outros momentos e espaços, de brincadeiras e jogos e demais práticas corporais tematizadas na escola, produzindo textos (orais, escritos, audiovisuais) para divulgá-las na escola e na comunidade.",EF12EF04,"Colaborar na proposição e na produção de alternativas para a prática, em outros momentos e espaços, de brincadeiras e jogos e demais práticas corporais tematizadas na escola, produzindo textos (orais, escritos, audiovisuais) para divulgá-las na escola e na comunidade.",1,1,0,0,0,0,0,0,0
4,Educação Física,1º; 2º,Esportes,"Esportes de marca
Esportes de precisão","(EF12EF05) Experimentar e fruir, prezando pelo trabalho coletivo e pelo protagonismo, a prática de esportes de marca e de precisão, identificando os elementos comuns a esses esportes.",EF12EF05,"Experimentar e fruir, prezando pelo trabalho coletivo e pelo protagonismo, a prática de esportes de marca e de precisão, identificando os elementos comuns a esses esportes.",1,1,0,0,0,0,0,0,0
5,Educação Física,1º; 2º,Esportes,"Esportes de marca
Esportes de precisão",(EF12EF06) Discutir a importância da observação das normas e das regras dos esportes de marca e de precisão para assegurar a integridade própria e as dos demais participantes.,EF12EF06,Discutir a importância da observação das normas e das regras dos esportes de marca e de precisão para assegurar a integridade própria e as dos demais participantes.,1,1,0,0,0,0,0,0,0
6,Educação Física,1º; 2º,Ginásticas,Ginástica geral,"(EF12EF07) Experimentar, fruir e identificar diferentes elementos básicos da ginástica (equilíbrios, saltos, giros, rotações, acrobacias, com e sem materiais) e da ginástica geral, de forma individual e em pequenos grupos, adotando procedimentos de segurança.",EF12EF07,"Experimentar, fruir e identificar diferentes elementos básicos da ginástica (equilíbrios, saltos, giros, rotações, acrobacias, com e sem materiais) e da ginástica geral, de forma individual e em pequenos grupos, adotando procedimentos de segurança.",1,1,0,0,0,0,0,0,0
7,Educação Física,1º; 2º,Ginásticas,Ginástica geral,(EF12EF08) Planejar e utilizar estratégias para a execução de diferentes elementos básicos da ginástica e da ginástica geral.,EF12EF08,Planejar e utilizar estratégias para a execução de diferentes elementos básicos da ginástica e da ginástica geral.,1,1,0,0,0,0,0,0,0
8,Educação Física,1º; 2º,Ginásticas,Ginástica geral,"(EF12EF09) Participar da ginástica geral, identificando as potencialidades e os limites do corpo, e respeitando as diferenças individuais e de desempenho corporal.",EF12EF09,"Participar da ginástica geral, identificando as potencialidades e os limites do corpo, e respeitando as diferenças individuais e de desempenho corporal.",1,1,0,0,0,0,0,0,0
9,Educação Física,1º; 2º,Ginásticas,Ginástica geral,"(EF12EF10) Descrever, por meio de múltiplas linguagens (corporal, oral, escrita e audiovisual), as características dos elementos básicos da ginástica e da ginástica geral, identificando a presença desses elementos em distintas práticas corporais.",EF12EF10,"Descrever, por meio de múltiplas linguagens (corporal, oral, escrita e audiovisual), as características dos elementos básicos da ginástica e da ginástica geral, identificando a presença desses elementos em distintas práticas corporais.",1,1,0,0,0,0,0,0,0
10,Educação Física,1º; 2º,Danças,Danças do contexto comunitário e regional,"(EF12EF11) Experimentar e fruir diferentes danças do contexto comunitário e regional (rodas cantadas, brincadeiras rítmicas e expressivas), e recriá-las, respeitando as diferenças individuais e de desempenho corporal.",EF12EF11,"Experimentar e fruir diferentes danças do contexto comunitário e regional (rodas cantadas, brincadeiras rítmicas e expressivas), e recriá-las, respeitando as diferenças individuais e de desempenho corporal.",1,1,0,0,0,0,0,0,0
11,Educação Física,1º; 2º,Danças,Danças do contexto comunitário e regional,"(EF12EF12) Identificar os elementos constitutivos (ritmo, espaço, gestos) das danças do contexto comunitário e regional, valorizando e respeitando as manifestações de diferentes culturas.",EF12EF12,"Identificar os elementos constitutivos (ritmo, espaço, gestos) das danças do contexto comunitário e regional, valorizando e respeitando as manifestações de diferentes culturas.",1,1,0,0,0,0,0,0,0
12,Educação Física,3º; 4º; 5º,Brincadeiras e jogos,"Brincadeiras e jogos populares do Brasil e do mundo
Brincadeiras e jogos de matriz indígena e africana","(EF35EF01) Experimentar e fruir brincadeiras e jogos populares do Brasil e do mundo, incluindo aqueles de matriz indígena e africana, e recriá-los, valorizando a importância desse patrimônio histórico cultural.",EF35EF01,"Experimentar e fruir brincadeiras e jogos populares do Brasil e do mundo, incluindo aqueles de matriz indígena e africana, e recriá-los, valorizando a importância desse patrimônio histórico cultural.",0,0,1,1,1,0,0,0,0
13,Educação Física,3º; 4º; 5º,Brincadeiras e jogos,"Brincadeiras e jogos populares do Brasil e do mundo
Brincadeiras e jogos de matriz indígena e africana",(EF35EF02) Planejar e utilizar estratégias para possibilitar a participação segura de todos os alunos em brincadeiras e jogos populares do Brasil e de matriz indígena e africana.,EF35EF02,Planejar e utilizar estratégias para possibilitar a participação segura de todos os alunos em brincadeiras e jogos populares do Brasil e de matriz indígena e africana.,0,0,1,1,1,0,0,0,0
14,Educação Física,3º; 4º; 5º,Brincadeiras e jogos,"Brincadeiras e jogos populares do Brasil e do mundo
Brincadeiras e jogos de matriz indígena e africana","(EF35EF03) Descrever, por meio de múltiplas linguagens (corporal, oral, escrita, audiovisual), as brincadeiras e os jogos populares do Brasil e de matriz indígena e africana, explicando suas características e a importância desse patrimônio histórico cultural na preservação das diferentes culturas.",EF35EF03,"Descrever, por meio de múltiplas linguagens (corporal, oral, escrita, audiovisual), as brincadeiras e os jogos populares do Brasil e de matriz indígena e africana, explicando suas características e a importância desse patrimônio histórico cultural na preservação das diferentes culturas.",0,0,1,1,1,0,0,0,0
15,Educação Física,3º; 4º; 5º,Brincadeiras e jogos,"Brincadeiras e jogos populares do Brasil e do mundo
Brincadeiras e jogos de matriz indígena e africana","(EF35EF04) Recriar, individual e coletivamente, e experimentar, na escola e fora dela, brincadeiras e jogos populares do Brasil e do mundo, incluindo aqueles de matriz indígena e africana, e demais práticas corporais tematizadas na escola, adequando-as aos espaços públicos disponíveis.",EF35EF04,"Recriar, individual e coletivamente, e experimentar, na escola e fora dela, brincadeiras e jogos populares do Brasil e do mundo, incluindo aqueles de matriz indígena e africana, e demais práticas corporais tematizadas na escola, adequando-as aos espaços públicos disponíveis.",0,0,1,1,1,0,0,0,0
16,Educação Física,3º; 4º; 5º,Esportes,Esportes de campo e taco Esportes de rede/parede Esportes de invasão,"(EF35EF05) Experimentar e fruir diversos tipos de esportes de campo e taco, rede/parede e invasão, identificando seus elementos comuns e criando estratégias individuais e coletivas básicas para sua execução, prezando pelo trabalho coletivo e pelo protagonismo.",EF35EF05,"Experimentar e fruir diversos tipos de esportes de campo e taco, rede/parede e invasão, identificando seus elementos comuns e criando estratégias individuais e coletivas básicas para sua execução, prezando pelo trabalho coletivo e pelo protagonismo.",0,0,1,1,1,0,0,0,0
17,Educação Física,3º; 4º; 5º,Esportes,Esportes de campo e taco Esportes de rede/parede Esportes de invasão,"(EF35EF06) Diferenciar os conceitos de jogo e esporte, identificando as características que os constituem na contemporaneidade e suas manifestações (profissional e comunitária/lazer).",EF35EF06,"Diferenciar os conceitos de jogo e esporte, identificando as características que os constituem na contemporaneidade e suas manifestações (profissional e comunitária/lazer).",0,0,1,1,1,0,0,0,0
18,Educação Física,3º; 4º; 5º,Ginásticas,Ginástica geral,"(EF35EF07) Experimentar e fruir, de forma coletiva, combinações de diferentes elementos da ginástica geral (equilíbrios, saltos, giros, rotações, acrobacias, com e sem materiais), propondo coreografias com diferentes temas do cotidiano.",EF35EF07,"Experimentar e fruir, de forma coletiva, combinações de diferentes elementos da ginástica geral (equilíbrios, saltos, giros, rotações, acrobacias, com e sem materiais), propondo coreografias com diferentes temas do cotidiano.",0,0,1,1,1,0,0,0,0
19,Educação Física,3º; 4º; 5º,Ginásticas,Ginástica geral,"(EF35EF08) Planejar e utilizar estratégias para resolver desafios na execução de elementos básicos de apresentações coletivas de ginástica geral, reconhecendo as potencialidades e os limites do corpo e adotando procedimentos de segurança.",EF35EF08,"Planejar e utilizar estratégias para resolver desafios na execução de elementos básicos de apresentações coletivas de ginástica geral, reconhecendo as potencialidades e os limites do corpo e adotando procedimentos de segurança.",0,0,1,1,1,0,0,0,0
20,Educação Física,3º; 4º; 5º,Danças,"Danças do Brasil e do mundo
Danças de matriz indígena e africana","(EF35EF09) Experimentar, recriar e fruir danças populares do Brasil e do mundo e danças de matriz indígena e africana, valorizando e respeitando os diferentes sentidos e significados dessas danças em suas culturas de origem.",EF35EF09,"Experimentar, recriar e fruir danças populares do Brasil e do mundo e danças de matriz indígena e africana, valorizando e respeitando os diferentes sentidos e significados dessas danças em suas culturas de origem.",0,0,1,1,1,0,0,0,0
21,Educação Física,3º; 4º; 5º,Danças,"Danças do Brasil e do mundo
Danças de matriz indígena e africana","(EF35EF10) Comparar e identificar os elementos constitutivos comuns e diferentes (ritmo, espaço, gestos) em danças populares do Brasil e do mundo e danças de matriz indígena e africana.",EF35EF10,"Comparar e identificar os elementos constitutivos comuns e diferentes (ritmo, espaço, gestos) em danças populares do Brasil e do mundo e danças de matriz indígena e africana.",0,0,1,1,1,0,0,0,0
22,Educação Física,3º; 4º; 5º,Danças,"Danças do Brasil e do mundo
Danças de matriz indígena e africana","(EF35EF11) Formular e utilizar estratégias para a execução de elementos constitutivos das danças populares do Brasil e do mundo, e das danças de matriz indígena e africana.",EF35EF11,"Formular e utilizar estratégias para a execução de elementos constitutivos das danças populares do Brasil e do mundo, e das danças de matriz indígena e africana.",0,0,1,1,1,0,0,0,0
23,Educação Física,3º; 4º; 5º,Danças,"Danças do Brasil e do mundo
Danças de matriz indígena e africana",(EF35EF12) Identificar situações de injustiça e preconceito geradas e/ou presentes no contexto das danças e demais práticas corporais e discutir alternativas para superá-las.,EF35EF12,Identificar situações de injustiça e preconceito geradas e/ou presentes no contexto das danças e demais práticas corporais e discutir alternativas para superá-las.,0,0,1,1,1,0,0,0,0
24,Educação Física,3º; 4º; 5º,Lutas,"Lutas do contexto comunitário e regional
Lutas de matriz indígena e africana","(EF35EF13) Experimentar, fruir e recriar diferentes lutas presentes no contexto comunitário e regional e lutas de matriz indígena e africana.",EF35EF13,"Experimentar, fruir e recriar diferentes lutas presentes no contexto comunitário e regional e lutas de matriz indígena e africana.",0,0,1,1,1,0,0,0,0
25,Educação Física,3º; 4º; 5º,Lutas,"Lutas do contexto comunitário e regional
Lutas de matriz indígena e africana","(EF35EF14) Planejar e utilizar estratégias básicas das lutas do contexto comunitário e regional e lutas de matriz indígena e africana experimentadas, respeitando o colega como oponente e as normas de segurança.",EF35EF14,"Planejar e utilizar estratégias básicas das lutas do contexto comunitário e regional e lutas de matriz indígena e africana experimentadas, respeitando o colega como oponente e as normas de segurança.",0,0,1,1,1,0,0,0,0
26,Educação Física,3º; 4º; 5º,Lutas,"Lutas do contexto comunitário e regional
Lutas de matriz indígena e africana","(EF35EF15) Identificar as características das lutas do contexto comunitário e regional e lutas de matriz indígena e africana, reconhecendo as diferenças entre lutas e brigas e entre lutas e as demais práticas corporais.",EF35EF15,"Identificar as características das lutas do contexto comunitário e regional e lutas de matriz indígena e africana, reconhecendo as diferenças entre lutas e brigas e entre lutas e as demais práticas corporais.",0,0,1,1,1,0,0,0,0
27,Educação Física,6º; 7º,Brincadeiras e jogos,Jogos eletrônicos,"(EF67EF01) Experimentar e fruir, na escola e fora dela, jogos eletrônicos diversos, valorizando e respeitando os sentidos e significados atribuídos a eles por diferentes grupos sociais e etários.",EF67EF01,"Experimentar e fruir, na escola e fora dela, jogos eletrônicos diversos, valorizando e respeitando os sentidos e significados atribuídos a eles por diferentes grupos sociais e etários.",0,0,0,0,0,1,1,0,0
28,Educação Física,6º; 7º,Brincadeiras e jogos,Jogos eletrônicos,(EF67EF02) Identificar as transformações nas características dos jogos eletrônicos em função dos avanços das tecnologias e nas respectivas exigências corporais colocadas por esses diferentes tipos de jogos.,EF67EF02,Identificar as transformações nas características dos jogos eletrônicos em função dos avanços das tecnologias e nas respectivas exigências corporais colocadas por esses diferentes tipos de jogos.,0,0,0,0,0,1,1,0,0
29,Educação Física,6º; 7º,Esportes,"Esportes de marca Esportes de precisão
Esportes de invasão
Esportes técnico-combinatórios","(EF67EF03) Experimentar e fruir esportes de marca, precisão, invasão e técnico-combinatórios, valorizando o trabalho coletivo e o protagonismo.",EF67EF03,"Experimentar e fruir esportes de marca, precisão, invasão e técnico-combinatórios, valorizando o trabalho coletivo e o protagonismo.",0,0,0,0,0,1,1,0,0
30,Educação Física,6º; 7º,Esportes,"Esportes de marca Esportes de precisão
Esportes de invasão
Esportes técnico-combinatórios","(EF67EF04) Praticar um ou mais esportes de marca, precisão, invasão e técnico-combinatórios oferecidos pela escola, usando habilidades técnico-táticas básicas e respeitando regras.",EF67EF04,"Praticar um ou mais esportes de marca, precisão, invasão e técnico-combinatórios oferecidos pela escola, usando habilidades técnico-táticas básicas e respeitando regras.",0,0,0,0,0,1,1,0,0
31,Educação Física,6º; 7º,Esportes,"Esportes de marca Esportes de precisão
Esportes de invasão
Esportes técnico-combinatórios","(EF67EF05) Planejar e utilizar estratégias para solucionar os desafios técnicos e táticos, tanto nos esportes de marca, precisão, invasão e técnico-combinatórios como nas modalidades esportivas escolhidas para praticar de forma específica.",EF67EF05,"Planejar e utilizar estratégias para solucionar os desafios técnicos e táticos, tanto nos esportes de marca, precisão, invasão e técnico-combinatórios como nas modalidades esportivas escolhidas para praticar de forma específica.",0,0,0,0,0,1,1,0,0
32,Educação Física,6º; 7º,Esportes,"Esportes de marca Esportes de precisão
Esportes de invasão
Esportes técnico-combinatórios",(EF67EF06) Analisar as transformações na organização e na prática dos esportes em suas diferentes manifestações (profissional e comunitário/lazer).,EF67EF06,Analisar as transformações na organização e na prática dos esportes em suas diferentes manifestações (profissional e comunitário/lazer).,0,0,0,0,0,1,1,0,0
33,Educação Física,6º; 7º,Esportes,"Esportes de marca Esportes de precisão
Esportes de invasão
Esportes técnico-combinatórios",(EF67EF07) Propor e produzir alternativas para experimentação dos esportes não disponíveis e/ou acessíveis na comunidade e das demais práticas corporais tematizadas na escola.,EF67EF07,Propor e produzir alternativas para experimentação dos esportes não disponíveis e/ou acessíveis na comunidade e das demais práticas corporais tematizadas na escola.,0,0,0,0,0,1,1,0,0
34,Educação Física,6º; 7º,Ginásticas,Ginástica de condicionamento físico,"(EF67EF08) Experimentar e fruir exercícios físicos que solicitem diferentes capacidades físicas, identificando seus tipos (força, velocidade, resistência, flexibilidade) e as sensações corporais provocadas pela sua prática.",EF67EF08,"Experimentar e fruir exercícios físicos que solicitem diferentes capacidades físicas, identificando seus tipos (força, velocidade, resistência, flexibilidade) e as sensações corporais provocadas pela sua prática.",0,0,0,0,0,1,1,0,0
35,Educação Física,6º; 7º,Ginásticas,Ginástica de condicionamento físico,"(EF67EF09) Construir, coletivamente, procedimentos e normas de convívio que viabilizem a participação de todos na prática de exercícios físicos, com o objetivo de promover a saúde.",EF67EF09,"Construir, coletivamente, procedimentos e normas de convívio que viabilizem a participação de todos na prática de exercícios físicos, com o objetivo de promover a saúde.",0,0,0,0,0,1,1,0,0
36,Educação Física,6º; 7º,Ginásticas,Ginástica de condicionamento físico,(EF67EF10) Diferenciar exercício físico de atividade física e propor alternativas para a prática de exercícios físicos dentro e fora do ambiente escolar.,EF67EF10,Diferenciar exercício físico de atividade física e propor alternativas para a prática de exercícios físicos dentro e fora do ambiente escolar.,0,0,0,0,0,1,1,0,0
37,Educação Física,6º; 7º,Danças,Danças urbanas,"(EF67EF11) Experimentar, fruir e recriar danças urbanas, identificando seus elementos constitutivos (ritmo, espaço, gestos).
",EF67EF11,"Experimentar, fruir e recriar danças urbanas, identificando seus elementos constitutivos (ritmo, espaço, gestos).",0,0,0,0,0,1,1,0,0
38,Educação Física,6º; 7º,Danças,Danças urbanas,(EF67EF12) Planejar e utilizar estratégias para aprender elementos constitutivos das danças urbanas.,EF67EF12,Planejar e utilizar estratégias para aprender elementos constitutivos das danças urbanas.,0,0,0,0,0,1,1,0,0
39,Educação Física,6º; 7º,Danças,Danças urbanas,"(EF67EF13) Diferenciar as danças urbanas das demais manifestações da dança, valorizando e respeitando os sentidos e significados atribuídos a eles por diferentes grupos sociais.",EF67EF13,"Diferenciar as danças urbanas das demais manifestações da dança, valorizando e respeitando os sentidos e significados atribuídos a eles por diferentes grupos sociais.",0,0,0,0,0,1,1,0,0
