,componente,ano_faixa,unidades_tematicas,objetos_conhecimento,habilidades,cod_hab,descricao_cod,primeiro_ef,segundo_ef,terceiro_ef,quarto_ef,quinto_ef,sexto_ef,setimo_ef,oitavo_ef,nono_ef
0,Ensino Religioso,1º,Identidades e alteridades,"O eu, o outro e o nós","(EF01ER01) Identificar e acolher as semelhanças e diferenças entre o eu, o outro e o nós.",EF01ER01,"Identificar e acolher as semelhanças e diferenças entre o eu, o outro e o nós.",1,0,0,0,0,0,0,0,0
1,Ensino Religioso,1º,Identidades e alteridades,"O eu, o outro e o nós",(EF01ER02) Reconhecer que o seu nome e o das demais pessoas os identificam e os diferenciam.,EF01ER02,Reconhecer que o seu nome e o das demais pessoas os identificam e os diferenciam.,1,0,0,0,0,0,0,0,0
2,Ensino Religioso,1º,Identidades e alteridades,Imanência e transcendência,(EF01ER03) Reconhecer e respeitar as características físicas e subjetivas de cada um.,EF01ER03,Reconhecer e respeitar as características físicas e subjetivas de cada um.,1,0,0,0,0,0,0,0,0
3,Ensino Religioso,1º,Identidades e alteridades,Imanência e transcendência,(EF01ER04) Valorizar a diversidade de formas de vida.,EF01ER04,Valorizar a diversidade de formas de vida.,1,0,0,0,0,0,0,0,0
4,Ensino Religioso,1º,Manifestações religiosas,"Sentimentos, lembranças, memórias e saberes","(EF01ER05) Identificar e acolher sentimentos, lembranças, memórias e saberes de cada um.",EF01ER05,"Identificar e acolher sentimentos, lembranças, memórias e saberes de cada um.",1,0,0,0,0,0,0,0,0
5,Ensino Religioso,1º,Manifestações religiosas,"Sentimentos, lembranças, memórias e saberes","(EF01ER06) Identificar as diferentes formas pelas quais as pessoas manifestam sentimentos, ideias, memórias, gostos e crenças em diferentes espaços.",EF01ER06,"Identificar as diferentes formas pelas quais as pessoas manifestam sentimentos, ideias, memórias, gostos e crenças em diferentes espaços.",1,0,0,0,0,0,0,0,0
6,Ensino Religioso,2º,Identidades e alteridades,"O eu, a família e o ambiente de convivência",(EF02ER01) Reconhecer os diferentes espaços de convivência.,EF02ER01,Reconhecer os diferentes espaços de convivência.,0,1,0,0,0,0,0,0,0
7,Ensino Religioso,2º,Identidades e alteridades,"O eu, a família e o ambiente de convivência","(EF02ER02) Identificar costumes, crenças e formas diversas de viver em variados ambientes de convivência.",EF02ER02,"Identificar costumes, crenças e formas diversas de viver em variados ambientes de convivência.",0,1,0,0,0,0,0,0,0
8,Ensino Religioso,2º,Identidades e alteridades,Memórias e símbolos,"(EF02ER03) Identificar as diferentes formas de registro das memórias pessoais, familiares e escolares (fotos, músicas, narrativas, álbuns...).",EF02ER03,"Identificar as diferentes formas de registro das memórias pessoais, familiares e escolares (fotos, músicas, narrativas, álbuns...).",0,1,0,0,0,0,0,0,0
9,Ensino Religioso,2º,Identidades e alteridades,Memórias e símbolos,(EF02ER04) Identificar os símbolos presentes nos variados espaços de convivência.,EF02ER04,Identificar os símbolos presentes nos variados espaços de convivência.,0,1,0,0,0,0,0,0,0
10,Ensino Religioso,2º,Identidades e alteridades,Símbolos religiosos,"(EF02ER05) Identificar, distinguir e respeitar símbolos religiosos de distintas manifestações, tradições e instituições religiosas.",EF02ER05,"Identificar, distinguir e respeitar símbolos religiosos de distintas manifestações, tradições e instituições religiosas.",0,1,0,0,0,0,0,0,0
11,Ensino Religioso,2º,Manifestações religiosas,Alimentos sagrados,"(EF02ER06) Exemplificar alimentos considerados sagrados por diferentes culturas, tradições e expressões religiosas.",EF02ER06,"Exemplificar alimentos considerados sagrados por diferentes culturas, tradições e expressões religiosas.",0,1,0,0,0,0,0,0,0
12,Ensino Religioso,2º,Manifestações religiosas,Alimentos sagrados,(EF02ER07) Identificar significados atribuídos a alimentos em diferentes manifestações e tradições religiosas.,EF02ER07,Identificar significados atribuídos a alimentos em diferentes manifestações e tradições religiosas.,0,1,0,0,0,0,0,0,0
13,Ensino Religioso,3º,Identidades e alteridades,Espaços e territórios religiosos,(EF03ER01) Identificar e respeitar os diferentes espaços e territórios religiosos de diferentes tradições e movimentos religiosos.,EF03ER01,Identificar e respeitar os diferentes espaços e territórios religiosos de diferentes tradições e movimentos religiosos.,0,0,1,0,0,0,0,0,0
