,componente,ano_faixa,unidades_tematicas,objetos_conhecimento,habilidades,cod_hab,descricao_cod,primeiro_ef,segundo_ef,terceiro_ef,quarto_ef,quinto_ef,sexto_ef,setimo_ef,oitavo_ef,nono_ef
0,Geografia,1º,O sujeito e seu lugar no mundo,O modo de vida das crianças em diferentes lugares,"(EF01GE01) Descrever características observadas de seus lugares de vivência (moradia, escola etc.) e identificar semelhanças e diferenças entre esses lugares.",EF01GE01,"Descrever características observadas de seus lugares de vivência (moradia, escola etc.) e identificar semelhanças e diferenças entre esses lugares.",1,0,0,0,0,0,0,0,0
1,Geografia,1º,O sujeito e seu lugar no mundo,O modo de vida das crianças em diferentes lugares,(EF01GE02) Identificar semelhanças e diferenças entre jogos e brincadeiras de diferentes épocas e lugares.,EF01GE02,Identificar semelhanças e diferenças entre jogos e brincadeiras de diferentes épocas e lugares.,1,0,0,0,0,0,0,0,0
2,Geografia,1º,O sujeito e seu lugar no mundo,Situações de convívio em diferentes lugares,"(EF01GE03) Identificar e relatar semelhanças e diferenças de usos do espaço público (praças, parques) para o lazer e diferentes manifestações.",EF01GE03,"Identificar e relatar semelhanças e diferenças de usos do espaço público (praças, parques) para o lazer e diferentes manifestações.",1,0,0,0,0,0,0,0,0
3,Geografia,1º,O sujeito e seu lugar no mundo,Situações de convívio em diferentes lugares,"(EF01GE04) Discutir e elaborar, coletivamente, regras de convívio em diferentes espaços (sala de aula, escola etc.).",EF01GE04,"Discutir e elaborar, coletivamente, regras de convívio em diferentes espaços (sala de aula, escola etc.).",1,0,0,0,0,0,0,0,0
4,Geografia,1º,Conexões e escalas,Ciclos naturais e a vida cotidiana,"(EF01GE05) Observar e descrever ritmos naturais (dia e noite, variação de temperatura e umidade etc.) em diferentes escalas espaciais e temporais, comparando a sua realidade com outras.",EF01GE05,"Observar e descrever ritmos naturais (dia e noite, variação de temperatura e umidade etc.) em diferentes escalas espaciais e temporais, comparando a sua realidade com outras.",1,0,0,0,0,0,0,0,0
5,Geografia,1º,Mundo do trabalho,Diferentes tipos de trabalho existentes no seu dia a dia,"(EF01GE06) Descrever e comparar diferentes tipos de moradia ou objetos de uso cotidiano (brinquedos, roupas, mobiliários), considerando técnicas e materiais utilizados em sua produção.",EF01GE06,"Descrever e comparar diferentes tipos de moradia ou objetos de uso cotidiano (brinquedos, roupas, mobiliários), considerando técnicas e materiais utilizados em sua produção.",1,0,0,0,0,0,0,0,0
6,Geografia,1º,Mundo do trabalho,Diferentes tipos de trabalho existentes no seu dia a dia,(EF01GE07) Descrever atividades de trabalho relacionadas com o dia a dia da sua comunidade.,EF01GE07,Descrever atividades de trabalho relacionadas com o dia a dia da sua comunidade.,1,0,0,0,0,0,0,0,0
7,Geografia,1º,Formas de representação e pensamento espacial,Pontos de referência,"(EF01GE08) Criar mapas mentais e desenhos com base em itinerários, contos literários, histórias inventadas e brincadeiras.",EF01GE08,"Criar mapas mentais e desenhos com base em itinerários, contos literários, histórias inventadas e brincadeiras.",1,0,0,0,0,0,0,0,0
8,Geografia,1º,Formas de representação e pensamento espacial,Pontos de referência,"(EF01GE09) Elaborar e utilizar mapas simples para localizar elementos do local de vivência, considerando referenciais espaciais (frente e atrás, esquerda e direita, em cima e embaixo, dentro e fora) e tendo o corpo como referência.",EF01GE09,"Elaborar e utilizar mapas simples para localizar elementos do local de vivência, considerando referenciais espaciais (frente e atrás, esquerda e direita, em cima e embaixo, dentro e fora) e tendo o corpo como referência.",1,0,0,0,0,0,0,0,0
9,Geografia,1º,"Natureza, ambientes e qualidade de vida",Condições de vida nos lugares de vivência,"(EF01GE10) Descrever características de seus lugares de vivência relacionadas aos ritmos da natureza (chuva, vento, calor etc.).",EF01GE10,"Descrever características de seus lugares de vivência relacionadas aos ritmos da natureza (chuva, vento, calor etc.).",1,0,0,0,0,0,0,0,0
