,componente,ano_faixa,eixo,unidades_tematicas,objetos_conhecimento,habilidades,cod_hab,descricao_cod,primeiro_ef,segundo_ef,terceiro_ef,quarto_ef,quinto_ef,sexto_ef,setimo_ef,oitavo_ef,nono_ef
0,Língua Inglesa,6º,Eixo oralidade,Interação discursiva,Construção de laços afetivos e convívio social,"(EF06LI01) Interagir em situações de intercâmbio oral, demonstrando iniciativa para utilizar a língua inglesa.",EF06LI01,"Interagir em situações de intercâmbio oral, demonstrando iniciativa para utilizar a língua inglesa.",0,0,0,0,0,1,0,0,0
1,Língua Inglesa,6º,Eixo oralidade,Interação discursiva,Construção de laços afetivos e convívio social,"(EF06LI02) Coletar informações do grupo, perguntando e respondendo sobre a família, os amigos, a escola e a comunidade..",EF06LI02,"Coletar informações do grupo, perguntando e respondendo sobre a família, os amigos, a escola e a comunidade..",0,0,0,0,0,1,0,0,0
2,Língua Inglesa,6º,Eixo oralidade,Interação discursiva,Funções e usos da língua inglesa em sala de aula (Classroom language),(EF06LI03) Solicitar esclarecimentos em língua inglesa sobre o que não entendeu e o significado de palavras ou expressões desconhecidas.,EF06LI03,Solicitar esclarecimentos em língua inglesa sobre o que não entendeu e o significado de palavras ou expressões desconhecidas.,0,0,0,0,0,1,0,0,0
3,Língua Inglesa,6º,Eixo oralidade,Compreensão oral,Estratégias de compreensão de textos orais: palavras cognatas e pistas do contexto discursivo,"(EF06LI04) Reconhecer, com o apoio de palavras cognatas e pistas do contexto discursivo, o assunto e as informações principais em textos orais sobre temas familiares.",EF06LI04,"Reconhecer, com o apoio de palavras cognatas e pistas do contexto discursivo, o assunto e as informações principais em textos orais sobre temas familiares.",0,0,0,0,0,1,0,0,0
4,Língua Inglesa,6º,Eixo oralidade,Produção oral,"Produção de textos orais, com a mediação do professor","(EF06LI05) Aplicar os conhecimentos da língua inglesa para falar de si e de outras pessoas, explicitando informações pessoais e características relacionadas a gostos, preferências e rotinas.",EF06LI05,"Aplicar os conhecimentos da língua inglesa para falar de si e de outras pessoas, explicitando informações pessoais e características relacionadas a gostos, preferências e rotinas.",0,0,0,0,0,1,0,0,0
5,Língua Inglesa,6º,Eixo oralidade,Produção oral,"Produção de textos orais, com a mediação do professor","(EF06LI06) Planejar apresentação sobre a família, a comunidade e a escola, compartilhando-a oralmente com o grupo.",EF06LI06,"Planejar apresentação sobre a família, a comunidade e a escola, compartilhando-a oralmente com o grupo.",0,0,0,0,0,1,0,0,0
6,Língua Inglesa,6º,Eixo leitura,Estratégias de leitura,Hipóteses sobre a finalidade de um texto,"(EF06LI07) Formular hipóteses sobre a finalidade de um texto em língua inglesa, com base em sua estrutura, organização textual e pistas gráficas.",EF06LI07,"Formular hipóteses sobre a finalidade de um texto em língua inglesa, com base em sua estrutura, organização textual e pistas gráficas.",0,0,0,0,0,1,0,0,0
7,Língua Inglesa,6º,Eixo leitura,Estratégias de leitura,"Compreensão geral e específica: leitura rápida (skimming, scanning)","(EF06LI08) Identificar o assunto de um texto, reconhecendo sua organização textual e palavras cognatas.",EF06LI08,"Identificar o assunto de um texto, reconhecendo sua organização textual e palavras cognatas.",0,0,0,0,0,1,0,0,0
8,Língua Inglesa,6º,Eixo leitura,Estratégias de leitura,"Compreensão geral e específica: leitura rápida (skimming, scanning)",(EF06LI09) Localizar informações específicas em texto.,EF06LI09,Localizar informações específicas em texto.,0,0,0,0,0,1,0,0,0
9,Língua Inglesa,6º,Eixo leitura,Práticas de leitura e construção de repertório lexical,Construção de repertório lexical e autonomia leitora,(EF06LI10) Conhecer a organização de um dicionário bilíngue (impresso e/ou on-line) para construir repertório lexical.,EF06LI10,Conhecer a organização de um dicionário bilíngue (impresso e/ou on-line) para construir repertório lexical.,0,0,0,0,0,1,0,0,0
10,Língua Inglesa,6º,Eixo leitura,Práticas de leitura e construção de repertório lexical,Construção de repertório lexical e autonomia leitora,(EF06LI11) Explorar ambientes virtuais e/ou aplicativos para construir repertório lexical na língua inglesa.,EF06LI11,Explorar ambientes virtuais e/ou aplicativos para construir repertório lexical na língua inglesa.,0,0,0,0,0,1,0,0,0
11,Língua Inglesa,6º,Eixo leitura,Atitudes e disposições favoráveis do leitor,"Partilha de leitura, com mediação do professor","(EF06LI12) Interessar-se pelo texto lido, compartilhando suas ideias sobre o que o texto informa/comunica.",EF06LI12,"Interessar-se pelo texto lido, compartilhando suas ideias sobre o que o texto informa/comunica.",0,0,0,0,0,1,0,0,0
12,Língua Inglesa,6º,Eixo escrita,Estratégias de escrita: pré-escrita,Planejamento do texto: brainstorming,"(EF06LI13) Listar ideias para a produção de textos, levando em conta o tema e o assunto.",EF06LI13,"Listar ideias para a produção de textos, levando em conta o tema e o assunto.",0,0,0,0,0,1,0,0,0
13,Língua Inglesa,6º,Eixo escrita,Estratégias de escrita: pré-escrita,Planejamento do texto: organização de ideias,"(EF06LI14) Organizar ideias, selecionando-as em função da estrutura e do objetivo do texto.",EF06LI14,"Organizar ideias, selecionando-as em função da estrutura e do objetivo do texto.",0,0,0,0,0,1,0,0,0
14,Língua Inglesa,6º,Eixo escrita,Práticas de escrita,"Produção de textos escritos, em formatos diversos, com a mediação do professor","(EF06LI15) Produzir textos escritos em língua inglesa (histórias em quadrinhos, cartazes, chats, blogues, agendas, fotolegendas, entre outros), sobre si mesmo, sua família, seus amigos, gostos, preferências e rotinas, sua comunidade e seu contexto escolar.",EF06LI15,"Produzir textos escritos em língua inglesa (histórias em quadrinhos, cartazes, chats, blogues, agendas, fotolegendas, entre outros), sobre si mesmo, sua família, seus amigos, gostos, preferências e rotinas, sua comunidade e seu contexto escolar.",0,0,0,0,0,1,0,0,0
15,Língua Inglesa,6º,Eixo conhecimentos linguísticos,Estudo do léxico,Construção de repertório lexical,(EF06LI16) Construir repertório relativo às expressões usadas para o convívio social e o uso da língua inglesa em sala de aula.,EF06LI16,Construir repertório relativo às expressões usadas para o convívio social e o uso da língua inglesa em sala de aula.,0,0,0,0,0,1,0,0,0
16,Língua Inglesa,6º,Eixo conhecimentos linguísticos,Estudo do léxico,Construção de repertório lexical,"(EF06LI17) Construir repertório lexical relativo a temas familiares (escola, família, rotina diária, atividades de lazer, esportes, entre outros).",EF06LI17,"Construir repertório lexical relativo a temas familiares (escola, família, rotina diária, atividades de lazer, esportes, entre outros).",0,0,0,0,0,1,0,0,0
17,Língua Inglesa,6º,Eixo conhecimentos linguísticos,Estudo do léxico,Pronúncia,(EF06LI18) Reconhecer semelhanças e diferenças na pronúncia de palavras da língua inglesa e da língua materna e/ou outras línguas conhecidas.,EF06LI18,Reconhecer semelhanças e diferenças na pronúncia de palavras da língua inglesa e da língua materna e/ou outras línguas conhecidas.,0,0,0,0,0,1,0,0,0
18,Língua Inglesa,6º,Eixo conhecimentos linguísticos,Gramática,"Presente simples e contínuo (formas afirmativa, negativa e interrogativa)",(EF06LI19) Utilizar o presente do indicativo para identificar pessoas (verbo to be) e descrever rotinas diárias.,EF06LI19,Utilizar o presente do indicativo para identificar pessoas (verbo to be) e descrever rotinas diárias.,0,0,0,0,0,1,0,0,0
19,Língua Inglesa,6º,Eixo conhecimentos linguísticos,Gramática,"Presente simples e contínuo (formas afirmativa, negativa e interrogativa)",(EF06LI20) Utilizar o presente contínuo para descrever ações em progresso.,EF06LI20,Utilizar o presente contínuo para descrever ações em progresso.,0,0,0,0,0,1,0,0,0
20,Língua Inglesa,6º,Eixo conhecimentos linguísticos,Gramática,Imperativo,"(EF06LI21) Reconhecer o uso do imperativo em enunciados de atividades, comandos e instruções.",EF06LI21,"Reconhecer o uso do imperativo em enunciados de atividades, comandos e instruções.",0,0,0,0,0,1,0,0,0
21,Língua Inglesa,6º,Eixo conhecimentos linguísticos,Gramática,Caso genitivo (‘s),(EF06LI22) Descrever relações por meio do uso de apóstrofo (’) + s.,EF06LI22,Descrever relações por meio do uso de apóstrofo (’) + s.,0,0,0,0,0,1,0,0,0
22,Língua Inglesa,6º,Eixo conhecimentos linguísticos,Gramática,Adjetivos possessivos,"(EF06LI23) Empregar, de forma inteligível, os adjetivos possessivos.",EF06LI23,"Empregar, de forma inteligível, os adjetivos possessivos.",0,0,0,0,0,1,0,0,0
23,Língua Inglesa,6º,Eixo dimensão intercultural,A língua inglesa no mundo,Países que têm a língua inglesa como língua materna e/ou oficial,(EF06LI24) Investigar o alcance da língua inglesa no mundo: como língua materna e/ou oficial (primeira ou segunda língua).,EF06LI24,Investigar o alcance da língua inglesa no mundo: como língua materna e/ou oficial (primeira ou segunda língua).,0,0,0,0,0,1,0,0,0
24,Língua Inglesa,6º,Eixo dimensão intercultural,A língua inglesa no cotidiano da sociedade brasileira/comunidade,Presença da língua inglesa no cotidiano,"(EF06LI25) Identificar a presença da língua inglesa na sociedade brasileira/comunidade (palavras, expressões, suportes e esferas de circulação e consumo) e seu significado.",EF06LI25,"Identificar a presença da língua inglesa na sociedade brasileira/comunidade (palavras, expressões, suportes e esferas de circulação e consumo) e seu significado.",0,0,0,0,0,1,0,0,0
25,Língua Inglesa,6º,Eixo dimensão intercultural,A língua inglesa no cotidiano da sociedade brasileira/comunidade,Presença da língua inglesa no cotidiano,"(EF06LI26) Avaliar, problematizando elementos/produtos culturais de países de língua inglesa absorvidos pela sociedade brasileira/comunidade.",EF06LI26,"Avaliar, problematizando elementos/produtos culturais de países de língua inglesa absorvidos pela sociedade brasileira/comunidade.",0,0,0,0,0,1,0,0,0
26,Língua Inglesa,7º,Eixo oralidade,Interação discursiva,Funções e usos da língua inglesa: convivência e colaboração em sala de aula,"(EF07LI01) Interagir em situações de intercâmbio oral para realizar as atividades em sala de aula, de forma respeitosa e colaborativa, trocando ideias e engajando-se em brincadeiras e jogos.",EF07LI01,"Interagir em situações de intercâmbio oral para realizar as atividades em sala de aula, de forma respeitosa e colaborativa, trocando ideias e engajando-se em brincadeiras e jogos.",0,0,0,0,0,0,1,0,0
27,Língua Inglesa,7º,Eixo oralidade,Interação discursiva,Práticas investigativas,(EF07LI02) Entrevistar os colegas para conhecer suas histórias de vida.,EF07LI02,Entrevistar os colegas para conhecer suas histórias de vida.,0,0,0,0,0,0,1,0,0
28,Língua Inglesa,7º,Eixo oralidade,Compreensão oral,Estratégias de compreensão de textos orais: conhecimentos prévios,(EF07LI03) Mobilizar conhecimentos prévios para compreender texto oral.,EF07LI03,Mobilizar conhecimentos prévios para compreender texto oral.,0,0,0,0,0,0,1,0,0
29,Língua Inglesa,7º,Eixo oralidade,Compreensão oral,Compreensão de textos orais de cunho descritivo ou narrativo,"(EF07LI04) Identificar o contexto, a finalidade, o assunto e os interlocutores em textos orais presentes no cinema, na internet, na televisão, entre outros.",EF07LI04,"Identificar o contexto, a finalidade, o assunto e os interlocutores em textos orais presentes no cinema, na internet, na televisão, entre outros.",0,0,0,0,0,0,1,0,0
30,Língua Inglesa,7º,Eixo oralidade,Produção oral,"Produção de textos orais, com mediação do professor","(EF07LI05) Compor, em língua inglesa, narrativas orais sobre fatos, acontecimentos e personalidades marcantes do passado.",EF07LI05,"Compor, em língua inglesa, narrativas orais sobre fatos, acontecimentos e personalidades marcantes do passado.",0,0,0,0,0,0,1,0,0
31,Língua Inglesa,7º,Eixo leitura,Estratégias de leitura,"Compreensão geral e específica: leitura rápida (skimming, scanning)","(EF07LI06) Antecipar o sentido global de textos em língua inglesa por inferências, com base em leitura rápida, observando títulos, primeiras e últimas frases de parágrafos e palavras-chave repetidas.",EF07LI06,"Antecipar o sentido global de textos em língua inglesa por inferências, com base em leitura rápida, observando títulos, primeiras e últimas frases de parágrafos e palavras-chave repetidas.",0,0,0,0,0,0,1,0,0
32,Língua Inglesa,7º,Eixo leitura,Estratégias de leitura,"Compreensão geral e específica: leitura rápida (skimming, scanning)",(EF07LI07) Identificar a(s) informação(ões)-chave de partes de um texto em língua inglesa (parágrafos).,EF07LI07,Identificar a(s) informação(ões)-chave de partes de um texto em língua inglesa (parágrafos).,0,0,0,0,0,0,1,0,0
33,Língua Inglesa,7º,Eixo leitura,Estratégias de leitura,Construção do sentido global do texto,(EF07LI08) Relacionar as partes de um texto (parágrafos) para construir seu sentido global.,EF07LI08,Relacionar as partes de um texto (parágrafos) para construir seu sentido global.,0,0,0,0,0,0,1,0,0
34,Língua Inglesa,7º,Eixo leitura,Práticas de leitura e pesquisa,Objetivos de leitura,"(EF07LI09) Selecionar, em um texto, a informação desejada como objetivo de leitura.",EF07LI09,"Selecionar, em um texto, a informação desejada como objetivo de leitura.",0,0,0,0,0,0,1,0,0
35,Língua Inglesa,7º,Eixo leitura,Práticas de leitura e pesquisa,Leitura de textos digitais para estudo,"(EF07LI10) Escolher, em ambientes virtuais, textos em língua inglesa, de fontes confiáveis, para estudos/pesquisas escolares.",EF07LI10,"Escolher, em ambientes virtuais, textos em língua inglesa, de fontes confiáveis, para estudos/pesquisas escolares.",0,0,0,0,0,0,1,0,0
36,Língua Inglesa,7º,Eixo leitura,Atitudes e disposições favoráveis do leitor,Partilha de leitura,"(EF07LI11) Participar de troca de opiniões e informações sobre textos, lidos na sala de aula ou em outros ambientes.",EF07LI11,"Participar de troca de opiniões e informações sobre textos, lidos na sala de aula ou em outros ambientes.",0,0,0,0,0,0,1,0,0
37,Língua Inglesa,7º,Eixo escrita,Estratégias de escrita: pré-escrita e escrita,"Pré-escrita: planejamento de produção escrita, com mediação do professor","(EF07LI12) Planejar a escrita de textos em função do contexto (público, finalidade, layout e suporte).",EF07LI12,"Planejar a escrita de textos em função do contexto (público, finalidade, layout e suporte).",0,0,0,0,0,0,1,0,0
38,Língua Inglesa,7º,Eixo escrita,Estratégias de escrita: pré-escrita e escrita,"Escrita: organização em parágrafos ou tópicos, com mediação do professor","(EF07LI13) Organizar texto em unidades de sentido, dividindo-o em parágrafos ou tópicos e subtópicos, explorando as possibilidades de organização gráfica, de suporte e de formato do texto.",EF07LI13,"Organizar texto em unidades de sentido, dividindo-o em parágrafos ou tópicos e subtópicos, explorando as possibilidades de organização gráfica, de suporte e de formato do texto.",0,0,0,0,0,0,1,0,0
39,Língua Inglesa,7º,Eixo escrita,Práticas de escrita,"Produção de textos escritos, em formatos diversos, com mediação do professor","(EF07LI14) Produzir textos diversos sobre fatos, acontecimentos e personalidades do passado (linha do tempo/ timelines, biografias, verbetes de enciclopédias, blogues, entre outros).",EF07LI14,"Produzir textos diversos sobre fatos, acontecimentos e personalidades do passado (linha do tempo/ timelines, biografias, verbetes de enciclopédias, blogues, entre outros).",0,0,0,0,0,0,1,0,0
40,Língua Inglesa,7º,Eixo conhecimentos linguísticos,Estudo do léxico,Construção de repertório lexical,"(EF07LI15) Construir repertório lexical relativo a verbos regulares e irregulares (formas no passado), preposições de tempo (in, on, at) e conectores (and, but, because, then, so, before, after, entre outros).",EF07LI15,"Construir repertório lexical relativo a verbos regulares e irregulares (formas no passado), preposições de tempo (in, on, at) e conectores (and, but, because, then, so, before, after, entre outros).",0,0,0,0,0,0,1,0,0
