,COMPONENTE,ANO/FAIXA,UNIDADES TEMÁTICAS,OBJETOS DE CONHECIMENTO,HABILIDADES
0,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Contextos e práticas,"(EF15AR01) Identificar e apreciar formas distintas das artes visuais tradicionais e contemporâneas, cultivando a percepção, o imaginário, a capacidade de simbolizar e o repertório imagético."
1,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Elementos da linguagem,"(EF15AR02) Explorar e reconhecer elementos constitutivos das artes visuais (ponto, linha, forma, cor, espaço, movimento etc.)."
2,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Matrizes estéticas e culturais,"(EF15AR03) Reconhecer e analisar a influência de distintas matrizes estéticas e culturais das artes visuais nas manifestações artísticas das culturas locais, regionais e nacionais."
3,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Materialidades,"(EF15AR04) Experimentar diferentes formas de expressão artística (desenho, pintura, colagem, quadrinhos, dobradura, escultura, modelagem, instalação, vídeo, fotografia etc.), fazendo uso sustentável de materiais, instrumentos, recursos e técnicas convencionais e não convencionais."
4,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Processos de criação,"(EF15AR05) Experimentar a criação em artes visuais de modo individual, coletivo e colaborativo, explorando diferentes espaços da escola e da comunidade."
5,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Processos de criação,"(EF15AR06) Dialogar sobre a sua criação e as dos colegas, para alcançar sentidos plurais."
6,Arte,1º; 2º; 3º; 4º; 5º,Artes visuais,Sistemas da linguagem,"(EF15AR07) Reconhecer algumas categorias do sistema das artes visuais (museus, galerias, instituições, artistas, artesãos, curadores etc.)."
7,Arte,1º; 2º; 3º; 4º; 5º,Dança,Contextos e práticas,"(EF15AR08) Experimentar e apreciar formas distintas de manifestações da dança presentes em diferentes contextos, cultivando a percepção, o imaginário, a capacidade de simbolizar e o repertório corporal."
8,Arte,1º; 2º; 3º; 4º; 5º,Dança,Elementos da linguagem,(EF15AR09) Estabelecer relações entre as partes do corpo e destas com o todo corporal na construção do movimento dançado.
9,Arte,1º; 2º; 3º; 4º; 5º,Dança,Elementos da linguagem,"(EF15AR10) Experimentar diferentes formas de orientação no espaço (deslocamentos, planos, direções, caminhos etc.) e ritmos de movimento (lento, moderado e rápido) na construção do movimento dançado."
10,Arte,1º; 2º; 3º; 4º; 5º,Dança,Processos de criação,"(EF15AR11) Criar e improvisar movimentos dançados de modo individual, coletivo e colaborativo, considerando os aspectos estruturais, dinâmicos e expressivos dos elementos constitutivos do movimento, com base nos códigos de dança."
11,Arte,1º; 2º; 3º; 4º; 5º,Dança,Processos de criação,"(EF15AR12) Discutir, com respeito e sem preconceito, as experiências pessoais e coletivas em dança vivenciadas na escola, como fonte para a construção de vocabulários e repertórios próprios."
12,Arte,1º; 2º; 3º; 4º; 5º,Música,Contextos e práticas,"(EF15AR13) Identificar e apreciar criticamente diversas formas e gêneros de expressão musical, reconhecendo e analisando os usos e as funções da música em diversos contextos de circulação, em especial, aqueles da vida cotidiana."
13,Arte,1º; 2º; 3º; 4º; 5º,Música,Elementos da linguagem,"(EF15AR14) Perceber e explorar os elementos constitutivos da música (altura, intensidade, timbre, melodia, ritmo etc.), por meio de jogos, brincadeiras, canções e práticas diversas de composição/criação, execução e apreciação musical."
14,Arte,1º; 2º; 3º; 4º; 5º,Música,Materialidades,"(EF15AR15) Explorar fontes sonoras diversas, como as existentes no próprio corpo (palmas, voz, percussão corporal), na natureza e em objetos cotidianos, reconhecendo os elementos constitutivos da música e as características de instrumentos musicais variados."
15,Arte,1º; 2º; 3º; 4º; 5º,Música,Notação e registro musical,"(EF15AR16) Explorar diferentes formas de registro musical não convencional (representação gráfica de sons, partituras criativas etc.), bem como procedimentos e técnicas de registro em áudio e audiovisual, e reconhecer a notação musical convencional."
16,Arte,1º; 2º; 3º; 4º; 5º,Música,Processos de criação,"(EF15AR17) Experimentar improvisações, composições e sonorização de histórias, entre outros, utilizando vozes, sons corporais e/ou instrumentos musicais convencionais ou não convencionais, de modo individual, coletivo e colaborativo."
17,Arte,1º; 2º; 3º; 4º; 5º,Teatro,Contextos e práticas,"(EF15AR18) Reconhecer e apreciar formas distintas de manifestações do teatro presentes em diferentes contextos, aprendendo a ver e a ouvir histórias dramatizadas e cultivando a percepção, o imaginário, a capacidade de simbolizar e o repertório ficcional."
